구분,학년,수강학과,수강번호,교과목명,학점,시간,담당교수,강의시간,강의실,소영역,비고
,,소방·행정,1232,AI글쓰기기초,2,2-0-0,조익성 사고와표현 (필) 공공인재-13 공직법무자 치경찰,수(10:00-11:50),,,
,,,1233,AI글쓰기기초,2,2-0-0,이용승 사고와표현 (필) 공공인재-13 공직법무자 치경찰,목(10:00-11:50),,,
,,,1234,AI글쓰기기초,2,2-0-0,김래용 사고와표현 (필) 공공인재-13 공직법무자 치경찰,목(10:00-11:50),,,
,,,1235,AI글쓰기기초,2,2-0-0,권오수 사고와표현 (필) 공공인재-23 경찰행정부 동산·지적,목(10:00-11:50),,,
,,,1236,AI글쓰기기초,2,2-0-0,이덕균 사고와표현 (필) 공공인재-11 경찰행정부 동산·지적,수(14:00-15:50),,,
,,,1237,AI글쓰기기초,2,2-0-0,최영태 사고와표현 (필) 공공인재-13 경찰행정부 동산·지적,수(14:00-15:50),,,
,,,1238,AI글쓰기기초,2,2-0-0,박규준 사고와표현 (필) 공공인재-13 경찰행정부 동산·지적,수(14:00-15:50),,,
,,,1239,AI글쓰기기초,2,2-0-0,전용숙 사고와표현 (필) 공공인재-12,수(14:00-15:50),,,
,,국방군사,1240,AI글쓰기기초,2,2-0-0,정나리 사고와표현 (필) 공공인재-11,수(10:00-11:50),,,
,,소방·행정,1276,DU실용영어(1),2,2-0-0,애덤 탐슨 공공인재-13,월(10:00-11:50),,글로벌의사 소통,
,,소방·행정,1277,DU실용영어(1),2,2-0-0,코츠 로버 트 넬슨 공공인재-12,월(10:00-11:50),,글로벌의사 소통,
,,소방·행정,1278,DU실용영어(1),2,2-0-0,저스틴케 니 공공인재-23,월(10:00-11:50),,글로벌의사 소통,
,,소방·행정,1279,AI시대대학생활(1),1,1-0-0,송건섭 공공인재-23 공공인재대학,인성(필)화(17:00-17:50),,,
공통,1,소방·행정,1280,AI시대대학생활(1),1,1-0-0,이승철 공공인재-13,인성(필)화(17:00-17:50),,,
,,소방·행정,1281,AI시대대학생활(1),1,1-0-0,박길환 공공인재-12,인성(필)화(17:00-17:50),,,
,,소방·행정,1282,AI시대대학생활(1),1,1-0-0,김동신 공공인재-23,인성(필)화(17:00-17:50),,,
,,소방·행정,1283,AI시대대학생활(1),1,1-0-0,장명준 공공인재-13,인성(필)화(17:00-17:50),,,
,,소방·행정,1284,AI시대대학생활(1),1,1-0-0,서정욱 공공인재-13,인성(필)화(17:00-17:50),,,
,,공직법무,1285,DU실용영어(1),2,2-0-0,제이슨 아 담 레이너 공공인재-11,화(10:00-11:50),,글로벌의사 소통,
,,공직법무,1286,DU실용영어(1),2,2-0-0,코츠 로버 트 넬슨 공공인재-12,화(10:00-11:50),,글로벌의사 소통,
,,공직법무,1287,AI시대대학생활(1),1,1-0-0,최진원 공공인재-24,인성(필)수(11:00-11:50),,,
,,공직법무,1288,AI시대대학생활(1),1,1-0-0,이승환 공공인재-24,인성(필)수(11:00-11:50),,,
,,공직법무,1289,AI시대대학생활(1),1,1-0-0,장병주 공공인재-12,인성(필)수(11:00-11:50),,,
,,공직법무,1290,AI시대대학생활(1),1,1-0-0,공공인재-13 부동산·지 적,인성(필)수(11:00-11:50),,,이상학
,,,1291,DU실용영어(1),2,2-0-0,에릭 내쉬 공공인재-13 부동산·지 적,월(14:00-15:50),,글로벌의사 소통,
,,,1292,DU실용영어(1),2,2-0-0,이스릴엠 쿠다스 공공인재-13 부동산·지 적,월(14:00-15:50),,글로벌의사 소통,
,,,1293,AI시대대학생활(1),1,1-0-0,양성철 공공인재-13 부동산·지 적,인성(필)월(13:00-13:50),,,
,,,1294,AI시대대학생활(1),1,1-0-0,한정희 공공인재-13 부동산·지 적,인성(필)월(13:00-13:50),,,
,,,1295,AI시대대학생활(1),1,1-0-0,이성화 공공인재-13 부동산·지 적,인성(필)월(13:00-13:50),,,
,,,1296,AI시대대학생활(1),1,1-0-0,박원석 공공인재-13,인성(필)월(13:00-13:50),,,
,,공직법무,3936,DU실용영어(1),2,2-0-0,도란 코너 마이클 공공인재-13,화(10:00-11:50),,글로벌의사 소통,
,2,공공인재,1225,빅컨셉+,2,2-0-0,주영중,사고와표현월(12:00-13:50),사회3관-33,,
,,공공인재,1226,빅컨셉+,2,2-0-0,양승권 사고와표현,수(12:00-13:50),사회3관-33,,블렌디드러 닝
,,공공인재,1227,빅컨셉+,2,2-0-0,이종주,사고와표현화(14:00-15:50),사회3관-33,,
,,공공인재,1228,빅컨셉+,2,2-0-0,이덕균,사고와표현화(12:00-13:50),사회3관-33,,
,,공공인재,1229,빅컨셉+,2,2-0-0,김영진,사고와표현목(12:00-13:50),사회3관-33,,
,,공공인재,1230,빅컨셉+,2,2-0-0,양승권 사고와표현,월(14:00-15:50),사회3관-33,,블렌디드러 닝
교직,2,공공인재,1243,교육사회,2,1-0-1,이민경,화(13:00-14:50),사범1관-12,,블렌디드러 닝
,,공공인재,1244,교육심리,2,2-0-0,이미순,월(11:00-12:50),사범1관-13,,
,,공공인재,1245,교육철학및교육사,2,2-0-0,,월(13:00-14:50),사범1관-13,,
,,공공인재,1247,교육학개론,2,2-0-0,안준희,목(10:00-11:50),사범1관-12,,공공인재대학
교직,2,공공인재,1249,특수교육학개론,2,1-0-1,,수(14:00-15:50),사범1관-13,,
,,공공인재,1253,디지털교육,1,1-0-0,김현준,수(14:00-14:50),사범1관-13,,
,3,공공인재,1241,교육과정,2,1-0-1,김혜나,수(13:00-14:50),사범1관-12,,
,,공공인재,1242,교육방법및교육공학,2,1-0-1,오정숙,화(11:00-12:50),사범1관-13,,
,,공공인재,1246,교육평가,2,1-0-1,김혜숙,월(13:00-14:50),사범1관-13,,
,,공공인재,1248,교육행정및교육경영,2,1-0-1,김민희,월(11:00-12:50),사범1관-13,,블렌디드러 닝
,,공공인재,1251,교직실무,1,0-0-1,이정훈,목(14:00-14:50),사범1관-13,,
,,공공인재,1252,학교폭력예방및학생,,,의이해 2 2-0-0 문주연,수(13:00-14:50),사범1관-13,,
,4,공공인재,1250,학교현장실습(중등),2,2-0-0,,,미지정미지정,,
균형,1,공공인재,1254,한국사회의쟁점,2,2-0-0,박치현 공공인재-13,사회·문화수(10:00-11:50),,,
,,공공인재,1255,현대사회와다문화,3,3-0-0,박종수,사회·문화화(15:00-16:15) | 목(13:30-14:45),사과1관-15,,
,,공공인재,1256,고전과현대문화,3,3-0-0,백순철,문학·예술월(16:30-17:45) | 수(16:30-17:45),사회3관-32,,
,,공공인재,1257,사회과학의탄생,3,3-0-0,박치현,사회·문화월(16:30-17:45) | 수(16:30-17:45),사회3관-33,,
,,공공인재,1258,문학과예술의사회사,3,3-0-0,주영중,문학·예술화(13:30-14:45) | 목(15:00-16:15),사회3관-32,,
,,공공인재,1259,대학생인터넷윤리,3,3-0-0,김종완,과학·기술월(16:30-17:45) | 수(16:30-17:45),사회3관-32,,
,,공공인재,1260,다문화사회와가족복,,,지 3 3-0-0 노성향,화(13:30-14:45) | 목(15:00-16:15),사회3관-33,사회·문화,블렌디드러 닝
,,공공인재,1261,21세기한국문학과표,,,현 2 2-0-0 박규준 공공인재-13,문학·예술월(10:00-11:50),,,
,,공공인재,1262,정의란무엇인가,3,3-0-0,이용승,사회·문화화(15:00-16:15) | 목(13:30-14:45),사회3관-33,,
,,공공인재,1263,자기이해와의사소통,3,3-0-0,하영명,사회·문화화(13:30-14:45) | 목(15:00-16:15),사회3관-33,,
,,공공인재,1264,글로벌사회의이해,3,3-0-0,이소영,사회·문화월(16:30-17:45) | 수(16:30-17:45),사회3관-33,,
,,공공인재,1265,영화의비평적이해,3,3-0-0,송효정,문학·예술화(13:30-14:45) | 목(15:00-16:15),사회3관-32,,
,,공공인재,1266,한국고전문학의재발,,,견 3 3-0-0 이종필 공공인재-12,문학·예술월(15:00-16:15) | 수(13:30-14:45),,,
,,공공인재,1267,뮤지컬영어,3,3-0-0,임정완,문학·예술월(13:30-14:45) | 수(15:00-16:15),사범1관-12,,
,,공공인재,1268,미디어로보는동아시,,,3 3-0-0 민성기,사회·문화화(15:00-16:15) | 목(13:30-14:45),사회3관-33,아와글로벌문화콘텐 글로벌경영대학,
공통,1,일본어,1297,DU실용영어(1),2,2-0-0,헥트 크리 스탈 리,목(12:00-13:50),인문1관-12,글로벌의사 소통,
,,일본어,1298,DU실용영어(1),2,2-0-0,판티노플 레 신티아,목(12:00-13:50),인문1관-12,글로벌의사 소통,
,,일본어,1299,AI시대대학생활(1),1,1-0-0,김봉정,인성(필)수(11:00-11:50),인문2관-22,,
,,일본어,1300,AI시대대학생활(1),1,1-0-0,최장근,인성(필)수(11:00-11:50),인문1관-12,,
,,일본어,1301,AI시대대학생활(1),1,1-0-0,곽동곤,인성(필)수(11:00-11:50),인문1관-12,,
,,경영,1302,DU실용영어(1),2,2-0-0,허퍼 덕,수(12:00-13:50),경영1관-12,글로벌의사 소통,
